       p         nwds        bytes        nloop         RTT (s)
       0            1            8         1000    1.457245e-06
       0            2           16         1000    1.462395e-06
       0            3           24         1000    1.600555e-06
       0            4           32         1000    1.617917e-06
       0            5           40         1000    1.633157e-06
       0            6           48         1000    1.641882e-06
       0            7           56         1000    1.933552e-06
       0            8           64         1000    1.920257e-06
       0            9           72         1000    1.965542e-06
       0           10           80         1000    1.926740e-06
       0           11           88         1000    1.985179e-06
       0           12           96         1000    1.965834e-06
       0           13          104         1000    1.998325e-06
       0           14          112         1000    1.909888e-06
       0           15          120         1000    1.953781e-06
       0           16          128         1000    1.946527e-06
       0           17          136         1000    2.019374e-06
       0           18          144         1000    1.969370e-06
       0           19          152         1000    1.990139e-06
       0           20          160         1000    1.983727e-06
       0           21          168         1000    2.035594e-06
       0           22          176         1000    2.010607e-06
       0           23          184         1000    2.960327e-06
       0           24          192         1000    2.634233e-06
       0           25          200         1000    2.671993e-06
       0           26          208         1000    2.634773e-06
       0           27          216         1000    2.667936e-06
       0           28          224         1000    2.723931e-06
       0           29          232         1000    2.674688e-06
       0           30          240         1000    2.663969e-06
       0           31          248         1000    2.704415e-06
       0           32          256         1000    2.710336e-06
       0           33          264         1000    2.681692e-06
       0           34          272         1000    2.691570e-06
       0           35          280         1000    2.695257e-06
       0           36          288         1000    2.687162e-06
       0           37          296         1000    2.723831e-06
       0           38          304         1000    2.720606e-06
       0           39          312         1000    2.746533e-06
       0           40          320         1000    2.762635e-06
       0           41          328         1000    2.773425e-06
       0           42          336         1000    2.744751e-06
       0           43          344         1000    2.753537e-06
       0           44          352         1000    2.752935e-06
       0           45          360         1000    2.783214e-06
       0           46          368         1000    2.791829e-06
       0           47          376         1000    2.785497e-06
       0           48          384         1000    2.792931e-06
       0           49          392         1000    2.798231e-06
       0           50          400         1000    2.793472e-06
       0           51          408         1000    2.788693e-06
       0           52          416         1000    3.185290e-06
       0           53          424         1000    2.848476e-06
       0           54          432         1000    2.801988e-06
       0           55          440         1000    2.834599e-06
       0           56          448         1000    2.812688e-06
       0           57          456         1000    2.807198e-06
       0           58          464         1000    2.809683e-06
       0           59          472         1000    2.828759e-06
       0           60          480         1000    2.829330e-06
       0           61          488         1000    2.879515e-06
       0           62          496         1000    2.866390e-06
       0           64          512         1000    2.850269e-06
       0           66          528         1000    2.950879e-06
       0           68          544         1000    2.913098e-06
       0           70          560         1000    2.909771e-06
       0           72          576         1000    2.889734e-06
       0           74          592         1000    2.915733e-06
       0           76          608         1000    2.923147e-06
       0           78          624         1000    2.937764e-06
       0           80          640         1000    2.964394e-06
       0           82          656         1000    2.959095e-06
       0           84          672         1000    2.975395e-06
       0           86          688         1000    2.979964e-06
       0           88          704         1000    2.997778e-06
       0           90          720         1000    3.014249e-06
       0           92          736         1000    3.020069e-06
       0           94          752         1000    3.024998e-06
       0           96          768         1000    3.032011e-06
       0           98          784         1000    3.058612e-06
       0          100          800          980    3.064089e-06
       0          102          816          961    3.112961e-06
       0          104          832          943    3.124168e-06
       0          106          848          925    3.144138e-06
       0          108          864          909    3.105795e-06
       0          110          880          892    3.124945e-06
       0          112          896          877    3.142270e-06
       0          114          912          862    3.149401e-06
       0          116          928          847    3.148198e-06
       0          118          944          833    3.179603e-06
       0          120          960          819    3.188987e-06
       0          122          976          806    3.217488e-06
       0          124          992          793    3.200038e-06
       0          127         1016          775    3.228378e-06
       0          130         1040          757    3.248908e-06
