       p         nwds        bytes        nloop         RTT (s)
       0            1            8         1000    1.425604e-06
       0            2           16         1000    1.430854e-06
       0            3           24         1000    1.600773e-06
       0            4           32         1000    1.619979e-06
       0            5           40         1000    1.630309e-06
       0            6           48         1000    1.632132e-06
       0            7           56         1000    1.900297e-06
       0            8           64         1000    1.897251e-06
       0            9           72         1000    1.912841e-06
       0           10           80         1000    1.919223e-06
       0           11           88         1000    1.940262e-06
       0           12           96         1000    1.946685e-06
       0           13          104         1000    1.964979e-06
       0           14          112         1000    1.961162e-06
       0           15          120         1000    1.948729e-06
       0           16          128         1000    2.000216e-06
       0           17          136         1000    1.952115e-06
       0           18          144         1000    1.951634e-06
       0           19          152         1000    1.970220e-06
       0           20          160         1000    1.979136e-06
       0           21          168         1000    2.016467e-06
       0           22          176         1000    2.002540e-06
       0           23          184         1000    2.732444e-06
       0           24          192         1000    2.720111e-06
       0           25          200         1000    2.716183e-06
       0           26          208         1000    2.729779e-06
       0           27          216         1000    2.745209e-06
       0           28          224         1000    2.712978e-06
       0           29          232         1000    2.761268e-06
       0           30          240         1000    2.723217e-06
       0           31          248         1000    2.752932e-06
       0           32          256         1000    2.797126e-06
       0           33          264         1000    2.788670e-06
       0           34          272         1000    2.786095e-06
       0           35          280         1000    2.777870e-06
       0           36          288         1000    2.792037e-06
       0           37          296         1000    2.798608e-06
       0           38          304         1000    2.799921e-06
       0           39          312         1000    2.817103e-06
       0           40          320         1000    2.808497e-06
       0           41          328         1000    2.819589e-06
       0           42          336         1000    2.828475e-06
       0           43          344         1000    2.830218e-06
       0           44          352         1000    2.835718e-06
       0           45          360         1000    2.880523e-06
       0           46          368         1000    2.901693e-06
       0           47          376         1000    2.894409e-06
       0           48          384         1000    2.921981e-06
       0           49          392         1000    2.864763e-06
       0           50          400         1000    2.870835e-06
       0           51          408         1000    2.886173e-06
       0           52          416         1000    2.872688e-06
       0           53          424         1000    2.928333e-06
       0           54          432         1000    3.104374e-06
       0           55          440         1000    2.878439e-06
       0           56          448         1000    2.881444e-06
       0           57          456         1000    2.844975e-06
       0           58          464         1000    2.867709e-06
       0           59          472         1000    2.864933e-06
       0           60          480         1000    2.873159e-06
       0           61          488         1000    2.888558e-06
       0           62          496         1000    3.057676e-06
       0           64          512         1000    2.850798e-06
       0           66          528         1000    2.871806e-06
       0           68          544         1000    2.870875e-06
       0           70          560         1000    2.898416e-06
       0           72          576         1000    2.896984e-06
       0           74          592         1000    2.925768e-06
       0           76          608         1000    2.932571e-06
       0           78          624         1000    2.972566e-06
       0           80          640         1000    2.951136e-06
       0           82          656         1000    2.964571e-06
       0           84          672         1000    2.967406e-06
       0           86          688         1000    2.998284e-06
       0           88          704         1000    2.980541e-06
       0           90          720         1000    3.019855e-06
       0           92          736         1000    3.013302e-06
       0           94          752         1000    3.025827e-06
       0           96          768         1000    3.010948e-06
       0           98          784         1000    3.040403e-06
       0          100          800          980    3.090849e-06
       0          102          816          961    3.085643e-06
       0          104          832          943    3.079807e-06
       0          106          848          925    3.104277e-06
       0          108          864          909    3.123780e-06
       0          110          880          892    3.127941e-06
       0          112          896          877    3.121315e-06
       0          114          912          862    3.144865e-06
       0          116          928          847    3.138564e-06
       0          118          944          833    3.180658e-06
       0          120          960          819    3.179759e-06
       0          122          976          806    3.201063e-06
       0          124          992          793    3.700459e-06
       0          127         1016          775    3.236557e-06
       0          130         1040          757    3.244033e-06
       0          133         1064          740    3.306454e-06
       0          136         1088          724    3.322014e-06
       0          139         1112          709    3.297887e-06
       0          142         1136          694    3.299294e-06
       0          145         1160          680    3.300906e-06
       0          148         1184          666    3.329662e-06
       0          151         1208          653    3.344689e-06
       0          154         1232          641    3.380936e-06
       0          157         1256          628    3.368124e-06
       0          160         1280          617    3.378760e-06
       0          163         1304          606    3.409620e-06
       0          166         1328          595    3.438489e-06
       0          169         1352          584    3.458822e-06
       0          172         1376          574    3.475254e-06
       0          175         1400          564    3.494949e-06
       0          178         1424          555    3.506095e-06
       0          181         1448          546    3.520548e-06
       0          184         1472          537    3.559475e-06
       0          187         1496          529    3.507019e-06
       0          191         1528          518    3.574025e-06
       0          195         1560          507    3.586694e-06
       0          199         1592          497    3.610783e-06
       0          203         1624          487    3.626417e-06
       0          207         1656          478    3.667259e-06
       0          211         1688          469    3.657418e-06
       0          215         1720          460    3.687224e-06
       0          219         1752          452    3.682575e-06
       0          223         1784          444    3.705331e-06
       0          227         1816          436    3.739817e-06
       0          231         1848          429    3.772068e-06
       0          235         1880          421    3.793532e-06
       0          239         1912          414    3.828947e-06
       0          243         1944          408    3.818586e-06
       0          247         1976          401    3.872601e-06
       0          251         2008          395    3.908446e-06
       0          256         2048          387    3.843127e-06
       0          261         2088          380    3.967705e-06
       0          266         2128          373    3.979692e-06
       0          271         2168          366    4.006478e-06
       0          276         2208          359    4.024036e-06
       0          281         2248          353    4.070779e-06
       0          286         2288          347    4.106954e-06
       0          291         2328          341    4.154862e-06
       0          296         2368          335    4.164257e-06
       0          301         2408          330    4.204855e-06
       0          306         2448          324    4.209716e-06
       0          311         2488          319    4.270013e-06
       0          316         2528          314    4.254506e-06
       0          322         2576          308    4.283909e-06
       0          328         2624          303    4.319683e-06
       0          334         2672          297    4.473741e-06
       0          340         2720          292    4.369767e-06
       0          346         2768          287    4.410150e-06
       0          352         2816          282    4.404638e-06
       0          358         2864          277    4.438827e-06
       0          364         2912          273    4.474795e-06
       0          370         2960          268    4.519440e-06
       0          376         3008          264    4.580973e-06
       0          383         3064          259    4.588680e-06
       0          390         3120          255    4.595200e-06
       0          397         3176          250    4.682856e-06
       0          404         3232          246    4.687646e-06
       0          411         3288          242    4.757963e-06
       0          418         3344          238    4.790534e-06
       0          425         3400          234    4.844974e-06
       0          432         3456          230    4.849174e-06
       0          439         3512          226    5.064668e-06
       0          447         3576          222    4.908203e-06
       0          455         3640          218    4.985073e-06
       0          463         3704          215    4.988693e-06
       0          471         3768          211    5.086493e-06
       0          479         3832          207    5.170942e-06
       0          487         3896          204    5.149838e-06
       0          495         3960          201    5.137134e-06
       0          503         4024          198    5.250692e-06
       0          512         4096          194    5.331325e-06
       0          521         4168          191    5.361089e-06
       0          530         4240          187    5.430064e-06
       0          539         4312          184    5.436647e-06
       0          548         4384          181    5.462381e-06
       0          557         4456          178    5.522865e-06
       0          566         4528          176    5.508494e-06
       0          576         4608          173    5.651393e-06
       0          586         4688          170    5.683053e-06
       0          596         4768          167    5.706731e-06
       0          606         4848          164    5.740628e-06
       0          616         4928          161    5.811311e-06
       0          626         5008          159    5.686679e-06
       0          637         5096          156    5.870154e-06
       0          648         5184          153    5.921405e-06
       0          659         5272          151    5.939987e-06
       0          670         5360          148    6.020318e-06
       0          681         5448          146    6.067315e-06
       0          692         5536          144    6.109354e-06
       0          704         5632          141    6.143695e-06
       0          716         5728          139    6.230655e-06
       0          728         5824          136    6.547691e-06
       0          740         5920          134    6.274799e-06
       0          752         6016          132    6.434917e-06
       0          765         6120          130    6.525592e-06
       0          778         6224          128    6.542547e-06
       0          791         6328          126    6.604421e-06
       0          804         6432          124    6.613419e-06
       0          817         6536          122    6.671492e-06
       0          831         6648          120    6.801883e-06
       0          845         6760          118    6.847551e-06
       0          859         6872          116    6.908353e-06
       0          873         6984          114    6.956342e-06
       0          887         7096          112    7.049518e-06
       0          902         7216          110    7.170682e-06
       0          917         7336          108    7.287046e-06
       0          932         7456          107    7.247944e-06
       0          947         7576          105    7.334857e-06
       0          963         7704          103    7.371447e-06
       0          979         7832          101    7.387366e-06
       0          995         7960          100    7.984130e-06
       0         1011         8088           98    7.660235e-06
       0         1028         8224           97    9.670990e-06
       0         1045         8360           95    9.829242e-06
       0         1062         8496           93    9.815892e-06
       0         1080         8640           92    1.001320e-05
       0         1098         8784           90    9.902644e-06
       0         1116         8928           89    9.966180e-06
       0         1134         9072           88    1.020136e-05
       0         1153         9224           86    1.018230e-05
       0         1172         9376           85    1.008346e-05
       0         1191         9528           83    1.037483e-05
       0         1211         9688           82    1.032054e-05
       0         1231         9848           81    1.049656e-05
       0         1251        10008           79    1.050699e-05
       0         1272        10176           78    1.069397e-05
       0         1293        10344           77    1.114540e-05
       0         1314        10512           75    1.035108e-05
       0         1336        10688           74    1.073292e-05
       0         1358        10864           73    1.089023e-05
       0         1380        11040           72    1.109714e-05
       0         1403        11224           71    1.094200e-05
       0         1426        11408           70    1.118579e-05
       0         1449        11592           68    1.097979e-05
       0         1473        11784           67    1.125925e-05
       0         1497        11976           66    1.149908e-05
       0         1521        12168           65    1.155189e-05
       0         1546        12368           64    1.117572e-05
       0         1571        12568           63    1.158356e-05
       0         1597        12776           62    1.178121e-05
       0         1623        12984           61    1.182521e-05
       0         1649        13192           60    1.211415e-05
       0         1676        13408           59    1.223420e-05
       0         1703        13624           58    1.206133e-05
       0         1731        13848           57    1.226396e-05
       0         1759        14072           56    1.241070e-05
       0         1788        14304           55    1.247876e-05
       0         1817        14536           54    1.275548e-05
       0         1847        14776           54    1.271357e-05
       0         1877        15016           53    1.289068e-05
       0         1908        15264           52    1.307154e-05
       0         1939        15512           51    1.291451e-05
       0         1971        15768           50    1.328542e-05
       0         2003        16024           49    1.335412e-05
       0         2036        16288           49    1.317255e-05
       0         2069        16552           48    1.361729e-05
       0         2103        16824           47    1.363162e-05
       0         2137        17096           46    1.376809e-05
       0         2172        17376           45    1.413349e-05
       0         2207        17656           45    1.429869e-05
       0         2243        17944           44    1.409720e-05
       0         2279        18232           43    1.432067e-05
       0         2316        18528           43    1.418928e-05
       0         2354        18832           42    1.440569e-05
       0         2392        19136           41    1.474385e-05
       0         2431        19448           41    1.460041e-05
       0         2470        19760           40    1.520487e-05
       0         2510        20080           39    1.491164e-05
       0         2551        20408           39    1.533887e-05
       0         2592        20736           38    1.440213e-05
       0         2634        21072           37    1.538708e-05
       0         2677        21416           37    1.539735e-05
       0         2720        21760           36    1.569011e-05
       0         2764        22112           36    1.579836e-05
       0         2809        22472           35    1.614551e-05
       0         2854        22832           35    1.728854e-05
       0         2900        23200           34    1.668641e-05
       0         2947        23576           33    1.658609e-05
       0         2995        23960           33    1.697891e-05
       0         3043        24344           32    1.670394e-05
       0         3092        24736           32    1.702519e-05
       0         3142        25136           31    1.701039e-05
       0         3193        25544           31    1.755629e-05
       0         3245        25960           30    1.734663e-05
       0         3297        26376           30    1.789403e-05
       0         3350        26800           29    1.782493e-05
       0         3404        27232           29    1.824986e-05
       0         3459        27672           28    1.836921e-05
       0         3515        28120           28    1.832164e-05
       0         3572        28576           27    1.848478e-05
       0         3630        29040           27    1.866293e-05
       0         3689        29512           27    2.046856e-05
       0         3749        29992           26    1.902850e-05
       0         3810        30480           26    1.906858e-05
       0         3871        30968           25    1.926064e-05
       0         3933        31464           25    1.953796e-05
       0         3996        31968           25    1.956004e-05
       0         4060        32480           24    1.995133e-05
       0         4125        33000           24    2.016379e-05
       0         4192        33536           23    2.040887e-05
       0         4260        34080           23    2.073035e-05
       0         4329        34632           23    2.056174e-05
       0         4399        35192           22    2.135064e-05
       0         4470        35760           22    2.129009e-05
       0         4542        36336           22    2.129600e-05
       0         4615        36920           21    2.200667e-05
       0         4689        37512           21    2.202100e-05
       0         4765        38120           20    2.304285e-05
       0         4842        38736           20    2.284350e-05
       0         4920        39360           20    2.351075e-05
       0         4999        39992           20    2.288760e-05
       0         5080        40640           20    2.320970e-05
       0         5162        41296           20    2.358790e-05
       0         5245        41960           20    2.367810e-05
       0         5329        42632           20    2.376020e-05
       0         5415        43320           20    2.404075e-05
       0         5502        44016           20    2.415450e-05
       0         5591        44728           20    2.443350e-05
       0         5681        45448           20    2.493345e-05
       0         5772        46176           20    2.504915e-05
       0         5865        46920           20    2.482275e-05
       0         5959        47672           20    2.527555e-05
       0         6055        48440           20    2.643325e-05
       0         6152        49216           20    2.655300e-05
       0         6251        50008           20    2.690315e-05
       0         6352        50816           20    2.644830e-05
       0         6454        51632           20    2.641720e-05
       0         6558        52464           20    2.734545e-05
       0         6663        53304           20    2.731995e-05
       0         6770        54160           20    2.757490e-05
       0         6879        55032           20    2.798970e-05
       0         6990        55920           20    2.786600e-05
       0         7102        56816           20    2.853670e-05
       0         7216        57728           20    2.866145e-05
       0         7332        58656           20    2.944190e-05
       0         7450        59600           20    2.948405e-05
       0         7570        60560           20    2.981660e-05
       0         7692        61536           20    3.043230e-05
       0         7816        62528           20    3.061365e-05
       0         7942        63536           20    3.062065e-05
       0         8070        64560           20    3.332925e-05
       0         8200        65600           20    3.115065e-05
       0         8332        66656           20    3.144070e-05
       0         8466        67728           20    3.174980e-05
       0         8602        68816           20    3.245915e-05
       0         8740        69920           20    3.259385e-05
       0         8880        71040           20    3.303520e-05
       0         9023        72184           20    3.346700e-05
       0         9168        73344           20    3.392685e-05
       0         9315        74520           20    3.447840e-05
       0         9465        75720           20    3.450245e-05
       0         9617        76936           20    3.475645e-05
       0         9771        78168           20    3.542970e-05
       0         9928        79424           20    3.589305e-05
       0        10087        80696           20    3.597675e-05
       0        10249        81992           20    3.625325e-05
       0        10414        83312           20    3.871385e-05
       0        10581        84648           20    3.723760e-05
       0        10751        86008           20    3.774810e-05
       0        10924        87392           20    3.806315e-05
       0        11099        88792           20    3.872090e-05
       0        11277        90216           20    3.944275e-05
       0        11458        91664           20    3.984905e-05
       0        11642        93136           20    3.997125e-05
       0        11829        94632           20    4.060695e-05
       0        12019        96152           20    4.089195e-05
       0        12212        97696           20    4.143250e-05
       0        12408        99264           20    4.187530e-05
       0        12607       100856           20    4.233620e-05
       0        12809       102472           20    4.286770e-05
       0        13014       104112           20    4.329000e-05
       0        13223       105784           20    4.417065e-05
       0        13435       107480           20    4.466610e-05
       0        13650       109200           20    4.558030e-05
       0        13869       110952           20    4.559485e-05
       0        14091       112728           20    4.644195e-05
       0        14317       114536           20    4.750245e-05
       0        14547       116376           20    4.752245e-05
       0        14780       118240           20    4.817170e-05
       0        15017       120136           20    4.919010e-05
       0        15258       122064           20    4.928630e-05
       0        15503       124024           20    4.988140e-05
       0        15752       126016           20    5.077260e-05
       0        16005       128040           20    5.115280e-05
       0        16262       130096           20    5.023855e-05
       0        16523       132184           20    5.238710e-05
       0        16788       134304           20    5.265565e-05
       0        17057       136456           20    5.395860e-05
       0        17330       138640           20    5.460530e-05
       0        17608       140864           20    5.560970e-05
       0        17890       143120           20    5.660905e-05
       0        18177       145416           20    5.729385e-05
       0        18468       147744           20    5.829025e-05
       0        18764       150112           20    5.892995e-05
       0        19065       152520           20    5.932020e-05
       0        19371       154968           20    5.998490e-05
       0        19681       157448           20    6.075735e-05
       0        19996       159968           20    6.115815e-05
       0        20316       162528           20    6.190405e-05
       0        20642       165136           20    6.247510e-05
       0        20973       167784           20    6.338785e-05
       0        21309       170472           20    6.468875e-05
       0        21650       173200           20    6.521825e-05
       0        21997       175976           20    6.627175e-05
       0        22349       178792           20    6.684435e-05
       0        22707       181656           20    6.958500e-05
       0        23071       184568           20    6.874040e-05
       0        23441       187528           20    6.935005e-05
       0        23817       190536           20    7.060245e-05
       0        24199       193592           20    7.153820e-05
       0        24587       196696           20    7.238875e-05
       0        24981       199848           20    7.332805e-05
       0        25381       203048           20    7.422725e-05
       0        25788       206304           20    7.546910e-05
       0        26201       209608           20    7.683565e-05
       0        26621       212968           20    7.775590e-05
       0        27047       216376           20    7.890305e-05
       0        27480       219840           20    7.981075e-05
       0        27920       223360           20    8.095590e-05
       0        28367       226936           20    8.190620e-05
       0        28821       230568           20    8.358885e-05
       0        29283       234264           20    8.613065e-05
       0        29752       238016           20    8.542080e-05
       0        30229       241832           20    8.713105e-05
       0        30713       245704           20    8.779730e-05
       0        31205       249640           20    8.925805e-05
       0        31705       253640           20    9.016875e-05
       0        32213       257704           20    9.164350e-05
       0        32729       261832           20    9.281375e-05
       0        33253       266024           20    9.447585e-05
       0        33786       270288           20    9.546475e-05
       0        34327       274616           20    9.727210e-05
       0        34877       279016           20    9.839675e-05
       0        35436       283488           20    9.945425e-05
       0        36003       288024           20    1.010117e-04
       0        36580       292640           20    1.027424e-04
       0        37166       297328           20    1.038300e-04
       0        37761       302088           20    3.379365e-05
       0        38366       306928           20    3.429355e-05
       0        38980       311840           20    3.458010e-05
       0        39604       316832           20    3.499185e-05
       0        40238       321904           20    3.558900e-05
       0        40882       327056           20    3.596870e-05
       0        41537       332296           20    3.665650e-05
       0        42202       337616           20    3.705975e-05
       0        42878       343024           20    3.712640e-05
       0        43565       348520           20    3.744200e-05
       0        44263       354104           20    3.772805e-05
       0        44972       359776           20    3.878905e-05
       0        45692       365536           20    3.909260e-05
       0        46424       371392           20    3.911310e-05
       0        47167       377336           20    3.980195e-05
       0        47922       383376           20    4.025225e-05
       0        48689       389512           20    4.083290e-05
       0        49469       395752           20    4.210730e-05
       0        50261       402088           20    4.215835e-05
       0        51066       408528           20    4.336165e-05
       0        51884       415072           20    4.334810e-05
       0        52715       421720           20    4.380045e-05
       0        53559       428472           20    4.404195e-05
       0        54416       435328           20    4.414810e-05
       0        55287       442296           20    4.531280e-05
       0        56172       449376           20    4.548360e-05
       0        57071       456568           20    4.594600e-05
       0        57985       463880           20    4.649005e-05
       0        58913       471304           20    4.723940e-05
       0        59856       478848           20    4.786210e-05
       0        60814       486512           20    4.890955e-05
       0        61788       494304           20    4.996560e-05
       0        62777       502216           20    5.084120e-05
       0        63782       510256           20    5.256845e-05
       0        64803       518424           20    5.138925e-05
       0        65840       526720           20    5.202995e-05
       0        66894       535152           20    5.288055e-05
       0        67965       543720           20    5.338300e-05
       0        69053       552424           20    5.430020e-05
       0        70158       561264           20    5.545945e-05
       0        71281       570248           20    5.594285e-05
       0        72422       579376           20    5.641370e-05
       0        73581       588648           20    5.715910e-05
       0        74759       598072           20    5.947745e-05
       0        75956       607648           20    5.881520e-05
       0        77172       617376           20    5.882475e-05
       0        78407       627256           20    6.019185e-05
       0        79662       637296           20    6.150780e-05
       0        80937       647496           20    6.241650e-05
       0        82233       657864           20    7.166240e-05
       0        83549       668392           20    6.512760e-05
       0        84886       679088           20    6.406810e-05
       0        86245       689960           20    6.549380e-05
       0        87625       701000           20    6.680025e-05
       0        89028       712224           20    6.815380e-05
       0        90453       723624           20    6.892325e-05
       0        91901       735208           20    6.992565e-05
       0        93372       746976           20    7.049820e-05
       0        94866       758928           20    7.128220e-05
       0        96384       771072           20    7.192640e-05
       0        97927       783416           20    7.496765e-05
       0        99494       795952           20    7.498665e-05
       0       101086       808688           20    7.567545e-05
       1            1            8         1000    2.337551e-06
       1            2           16         1000    2.805532e-06
       1            3           24         1000    2.999447e-06
       1            4           32         1000    2.996280e-06
       1            5           40         1000    3.007682e-06
       1            6           48         1000    3.012632e-06
       1            7           56         1000    3.550995e-06
       1            8           64         1000    3.579539e-06
       1            9           72         1000    3.572356e-06
       1           10           80         1000    3.571634e-06
       1           11           88         1000    3.597954e-06
       1           12           96         1000    3.620746e-06
       1           13          104         1000    3.679477e-06
       1           14          112         1000    3.676832e-06
       1           15          120         1000    3.650141e-06
       1           16          128         1000    3.625515e-06
       1           17          136         1000    3.640944e-06
       1           18          144         1000    3.648037e-06
       1           19          152         1000    3.684787e-06
       1           20          160         1000    3.720244e-06
       1           21          168         1000    3.788823e-06
       1           22          176         1000    3.779566e-06
       1           23          184         1000    5.167499e-06
       1           24          192         1000    5.202234e-06
       1           25          200         1000    5.185883e-06
       1           26          208         1000    5.201642e-06
       1           27          216         1000    5.166677e-06
       1           28          224         1000    5.258710e-06
       1           29          232         1000    5.274680e-06
       1           30          240         1000    5.245946e-06
       1           31          248         1000    5.258420e-06
       1           32          256         1000    5.253089e-06
       1           33          264         1000    5.312642e-06
       1           34          272         1000    5.550479e-06
       1           35          280         1000    5.258180e-06
       1           36          288         1000    5.319495e-06
       1           37          296         1000    5.414173e-06
       1           38          304         1000    5.305378e-06
       1           39          312         1000    5.339312e-06
